repo,parent commit,method path,rank,RR,AP,hit@10,sort_ranks,ground truth size,inner corpus size,outer corpus size,repo size
apache/ant-ivy,aefb24facc745fdec7b16fa28aac6538e4a8b00c,src/java/org/apache/ivy/util/url/HttpClientHandler.java/checkStatusCode,1.0,1.0,1.0,1.0,"[1.0, 5438.0]",1,33,5404,5438
apache/ant-ivy,aefb24facc745fdec7b16fa28aac6538e4a8b00c,src/java/org/apache/ivy/util/url/BasicURLHandler.java/checkStatusCode,1.0,1.0,1.0,1.0,"[1.0, 5438.0]",1,8,5429,5438
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/ant/IvyRepositoryReport.java/doExecute,49.0,0.02040816326530612,0.008177679865475799,0.0,"[49.0, 403.0, 451.0, 695.0, 713.0, 831.0, 1065.0, 1170.0, 3952.0]",8,34,3917,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/core/install/InstallEngine.java/install,53.0,0.018867924528301886,0.009800012930227604,0.0,"[53.0, 266.0, 343.0, 505.0, 522.0, 634.0, 887.0, 951.0, 3952.0]",8,1,3950,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/core/search/SearchEngine.java/listTokenValues,3.0,0.3333333333333333,0.11513191249595756,1.0,"[3.0, 14.0, 25.0, 42.0, 43.0, 61.0, 832.0, 1217.0, 3952.0]",8,10,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/core/search/SearchEngine.java/listOrganisationEntries,1.0,1.0,0.3201238728434225,1.0,"[1.0, 2.0, 12.0, 15.0, 195.0, 519.0, 1811.0, 2456.0, 3952.0]",8,10,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/core/search/SearchEngine.java/listOrganisations,1.0,1.0,0.3434504358081533,1.0,"[1.0, 3.0, 5.0, 19.0, 41.0, 47.0, 606.0, 865.0, 3952.0]",8,10,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/core/search/SearchEngine.java/listModuleEntries,1.0,1.0,0.27612420884990446,1.0,"[1.0, 2.0, 29.0, 59.0, 230.0, 664.0, 1905.0, 2425.0, 3952.0]",8,10,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/core/search/SearchEngine.java/listModules,1.0,1.0,0.3092116378381341,1.0,"[1.0, 2.0, 9.0, 93.0, 153.0, 184.0, 367.0, 616.0, 3952.0]",8,8,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/core/search/SearchEngine.java/listRevisionEntries,1.0,1.0,0.2973684448251775,1.0,"[1.0, 2.0, 12.0, 59.0, 163.0, 290.0, 1324.0, 1778.0, 3952.0]",8,10,3941,3952
